ID,Species_reported,Species_accepted,Condition,Temperature,GermSeeds,nSeeds,Growth_form,Distribution,Microhabitat,Dry_mass,Dormancy,Species_acceptedLCVP
4,Stachytarpheta reticulata,Stachytarpheta reticulata,Light,15,7,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,Light,15,6,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,Light,15,16,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,Light,15,7,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,Light,20,14,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,Light,20,15,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,Light,20,12,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,Light,20,10,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,Light,25,15,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,Light,25,12,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,Light,25,17,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,Light,25,14,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,Light,30,12,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,Light,30,14,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,Light,30,10,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,Light,30,12,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,Dark,15,0,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,Dark,15,0,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,Dark,15,0,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,Dark,15,0,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,Dark,20,0,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,Dark,20,0,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
