ID,Species_reported,Species_accepted,Temperature,GermSeeds,nSeeds,Growth_form,Distribution,Microhabitat,Dry_mass,Dormancy,Species_acceptedLCVP
4,Stachytarpheta reticulata,Stachytarpheta reticulata,15,7,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,15,6,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,15,16,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,15,7,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,25,15,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,25,12,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,25,17,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,25,14,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
14,Mimosa calodendron,Mimosa calodendron,15,24,25,Shrub,Restricted,Xeric,7.76,D,Mimosa_calodendron
14,Mimosa calodendron,Mimosa calodendron,15,23,25,Shrub,Restricted,Xeric,7.76,D,Mimosa_calodendron
14,Mimosa calodendron,Mimosa calodendron,15,25,25,Shrub,Restricted,Xeric,7.76,D,Mimosa_calodendron
14,Mimosa calodendron,Mimosa calodendron,15,23,25,Shrub,Restricted,Xeric,7.76,D,Mimosa_calodendron
14,Mimosa calodendron,Mimosa calodendron,25,24,25,Shrub,Restricted,Xeric,7.76,D,Mimosa_calodendron
14,Mimosa calodendron,Mimosa calodendron,25,23,25,Shrub,Restricted,Xeric,7.76,D,Mimosa_calodendron
14,Mimosa calodendron,Mimosa calodendron,25,23,25,Shrub,Restricted,Xeric,7.76,D,Mimosa_calodendron
14,Mimosa calodendron,Mimosa calodendron,25,23,25,Shrub,Restricted,Xeric,7.76,D,Mimosa_calodendron
16,Tillandsia gardneri,Tillandsia gardneri,15,25,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,15,24,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,15,6,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,15,23,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,25,23,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,25,7,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,25,6,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,25,7,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Vriesea bituminosa,Vriesea bituminosa,15,24,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,15,24,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,15,24,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,15,24,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,25,25,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,25,24,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,25,15,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,25,23,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea friburgensis,Vriesea friburgensis,15,22,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis
16,Vriesea friburgensis,Vriesea friburgensis,15,25,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis
16,Vriesea friburgensis,Vriesea friburgensis,15,16,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis
16,Vriesea friburgensis,Vriesea friburgensis,15,25,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis
16,Vriesea friburgensis,Vriesea friburgensis,25,24,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis
16,Vriesea friburgensis,Vriesea friburgensis,25,25,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis
16,Vriesea friburgensis,Vriesea friburgensis,25,7,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis
16,Vriesea friburgensis,Vriesea friburgensis,25,7,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis
16,Tillandsia gardneri,Tillandsia gardneri,15,16,20,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,15,16,20,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,15,14,20,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,15,13,20,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,15,11,20,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,15,19,20,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,25,20,20,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,25,17,20,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,25,18,20,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,25,18,20,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,25,17,20,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,25,18,20,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Vriesea bituminosa,Vriesea bituminosa,15,11,20,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,15,13,20,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,15,10,20,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,15,14,20,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,15,11,20,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,15,12,20,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,25,14,20,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,25,15,20,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,25,14,20,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,25,14,20,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,25,14,20,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,25,17,20,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea friburgensis,Vriesea friburgensis,15,16,20,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis
16,Vriesea friburgensis,Vriesea friburgensis,15,16,20,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis
16,Vriesea friburgensis,Vriesea friburgensis,15,14,20,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis
16,Vriesea friburgensis,Vriesea friburgensis,15,13,20,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis
16,Vriesea friburgensis,Vriesea friburgensis,15,11,20,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis
16,Vriesea friburgensis,Vriesea friburgensis,15,19,20,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis
16,Vriesea friburgensis,Vriesea friburgensis,25,20,20,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis
16,Vriesea friburgensis,Vriesea friburgensis,25,17,20,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis
16,Vriesea friburgensis,Vriesea friburgensis,25,18,20,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis
16,Vriesea friburgensis,Vriesea friburgensis,25,18,20,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis
16,Vriesea friburgensis,Vriesea friburgensis,25,17,20,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis
16,Vriesea friburgensis,Vriesea friburgensis,25,18,20,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis
25,Baccharis retusa,Baccharis retusa,15,23,25,Shrub,Widespread,Xeric,0.44,ND,Baccharis_retusa
25,Baccharis retusa,Baccharis retusa,15,24,25,Shrub,Widespread,Xeric,0.44,ND,Baccharis_retusa
25,Baccharis retusa,Baccharis retusa,15,23,25,Shrub,Widespread,Xeric,0.44,ND,Baccharis_retusa
25,Baccharis retusa,Baccharis retusa,15,23,25,Shrub,Widespread,Xeric,0.44,ND,Baccharis_retusa
25,Baccharis retusa,Baccharis retusa,25,23,25,Shrub,Widespread,Xeric,0.44,ND,Baccharis_retusa
25,Baccharis retusa,Baccharis retusa,25,24,25,Shrub,Widespread,Xeric,0.44,ND,Baccharis_retusa
25,Baccharis retusa,Baccharis retusa,25,24,25,Shrub,Widespread,Xeric,0.44,ND,Baccharis_retusa
25,Baccharis retusa,Baccharis retusa,25,19,25,Shrub,Widespread,Xeric,0.44,ND,Baccharis_retusa
31,Xyris aurea,Xyris aurea,15,28,50,Herb,Restricted,Mesic,0.115,ND,Xyris_aurea
31,Xyris aurea,Xyris aurea,15,23,50,Herb,Restricted,Mesic,0.115,ND,Xyris_aurea
31,Xyris aurea,Xyris aurea,15,26,50,Herb,Restricted,Mesic,0.115,ND,Xyris_aurea
31,Xyris aurea,Xyris aurea,15,23,50,Herb,Restricted,Mesic,0.115,ND,Xyris_aurea
31,Xyris aurea,Xyris aurea,25,33,50,Herb,Restricted,Mesic,0.115,ND,Xyris_aurea
31,Xyris aurea,Xyris aurea,25,31,50,Herb,Restricted,Mesic,0.115,ND,Xyris_aurea
31,Xyris aurea,Xyris aurea,25,29,50,Herb,Restricted,Mesic,0.115,ND,Xyris_aurea
31,Xyris aurea,Xyris aurea,25,29,50,Herb,Restricted,Mesic,0.115,ND,Xyris_aurea
31,Xyris bialata,Xyris bialata,15,36,50,Herb,Widespread,Mesic,0.045,ND,Xyris_bialata
31,Xyris bialata,Xyris bialata,15,41,50,Herb,Widespread,Mesic,0.045,ND,Xyris_bialata
31,Xyris bialata,Xyris bialata,15,41,50,Herb,Widespread,Mesic,0.045,ND,Xyris_bialata
31,Xyris bialata,Xyris bialata,15,42,50,Herb,Widespread,Mesic,0.045,ND,Xyris_bialata
31,Xyris bialata,Xyris bialata,25,43,50,Herb,Widespread,Mesic,0.045,ND,Xyris_bialata
31,Xyris bialata,Xyris bialata,25,40,50,Herb,Widespread,Mesic,0.045,ND,Xyris_bialata
31,Xyris bialata,Xyris bialata,25,46,50,Herb,Widespread,Mesic,0.045,ND,Xyris_bialata
31,Xyris bialata,Xyris bialata,25,41,50,Herb,Widespread,Mesic,0.045,ND,Xyris_bialata
31,Xyris jolyi,Xyris jolyi,15,36,50,Herb,Widespread,Mesic,0.012,ND,Xyris_jolyi
31,Xyris jolyi,Xyris jolyi,15,29,50,Herb,Widespread,Mesic,0.012,ND,Xyris_jolyi
31,Xyris jolyi,Xyris jolyi,15,29,50,Herb,Widespread,Mesic,0.012,ND,Xyris_jolyi
31,Xyris jolyi,Xyris jolyi,15,31,50,Herb,Widespread,Mesic,0.012,ND,Xyris_jolyi
31,Xyris jolyi,Xyris jolyi,25,31,50,Herb,Widespread,Mesic,0.012,ND,Xyris_jolyi
31,Xyris jolyi,Xyris jolyi,25,31,50,Herb,Widespread,Mesic,0.012,ND,Xyris_jolyi
31,Xyris jolyi,Xyris jolyi,25,35,50,Herb,Widespread,Mesic,0.012,ND,Xyris_jolyi
31,Xyris jolyi,Xyris jolyi,25,27,50,Herb,Widespread,Mesic,0.012,ND,Xyris_jolyi
31,Xyris laxifolia,Xyris macrocephala,15,0,50,Herb,Widespread,Mesic,0.02,ND,Xyris_laxifolia
31,Xyris laxifolia,Xyris macrocephala,15,0,50,Herb,Widespread,Mesic,0.02,ND,Xyris_laxifolia
31,Xyris laxifolia,Xyris macrocephala,15,0,50,Herb,Widespread,Mesic,0.02,ND,Xyris_laxifolia
31,Xyris laxifolia,Xyris macrocephala,15,0,50,Herb,Widespread,Mesic,0.02,ND,Xyris_laxifolia
31,Xyris laxifolia,Xyris macrocephala,25,38,50,Herb,Widespread,Mesic,0.02,ND,Xyris_laxifolia
31,Xyris laxifolia,Xyris macrocephala,25,40,50,Herb,Widespread,Mesic,0.02,ND,Xyris_laxifolia
31,Xyris laxifolia,Xyris macrocephala,25,41,50,Herb,Widespread,Mesic,0.02,ND,Xyris_laxifolia
31,Xyris laxifolia,Xyris macrocephala,25,41,50,Herb,Widespread,Mesic,0.02,ND,Xyris_laxifolia
31,Xyris peregrina,Xyris peregrina,15,34,50,Herb,Widespread,Mesic,0.015,ND,Xyris_pterygoblephara
31,Xyris peregrina,Xyris peregrina,15,31,50,Herb,Widespread,Mesic,0.015,ND,Xyris_pterygoblephara
31,Xyris peregrina,Xyris peregrina,15,21,50,Herb,Widespread,Mesic,0.015,ND,Xyris_pterygoblephara
31,Xyris peregrina,Xyris peregrina,15,26,50,Herb,Widespread,Mesic,0.015,ND,Xyris_pterygoblephara
31,Xyris peregrina,Xyris peregrina,25,42,50,Herb,Widespread,Mesic,0.015,ND,Xyris_pterygoblephara
31,Xyris peregrina,Xyris peregrina,25,45,50,Herb,Widespread,Mesic,0.015,ND,Xyris_pterygoblephara
31,Xyris peregrina,Xyris peregrina,25,41,50,Herb,Widespread,Mesic,0.015,ND,Xyris_pterygoblephara
31,Xyris peregrina,Xyris peregrina,25,36,50,Herb,Widespread,Mesic,0.015,ND,Xyris_pterygoblephara
