,n,ID,Species_reported,Species_accepted,Temperature,Growth_form,Distribution,Microhabitat,Dry_mass,Dormancy,Species_acceptedLCVP,t50_Farooq
1,1,14,Mimosa calodendron,Mimosa calodendron,15,Shrub,Restricted,Xeric,7.76,D,Mimosa_calodendron,4.333333333
2,2,14,Mimosa calodendron,Mimosa calodendron,15,Shrub,Restricted,Xeric,7.76,D,Mimosa_calodendron,4.055555556
3,3,14,Mimosa calodendron,Mimosa calodendron,15,Shrub,Restricted,Xeric,7.76,D,Mimosa_calodendron,3.766666667
4,4,14,Mimosa calodendron,Mimosa calodendron,15,Shrub,Restricted,Xeric,7.76,D,Mimosa_calodendron,2.958333333
5,5,14,Mimosa calodendron,Mimosa calodendron,25,Shrub,Restricted,Xeric,7.76,D,Mimosa_calodendron,3.705882353
6,6,14,Mimosa calodendron,Mimosa calodendron,25,Shrub,Restricted,Xeric,7.76,D,Mimosa_calodendron,4.15
7,7,14,Mimosa calodendron,Mimosa calodendron,25,Shrub,Restricted,Xeric,7.76,D,Mimosa_calodendron,4.125
8,8,14,Mimosa calodendron,Mimosa calodendron,25,Shrub,Restricted,Xeric,7.76,D,Mimosa_calodendron,3.75
9,9,16,Tillandsia gardneri,Tillandsia gardneri,15,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,9.269230769
10,10,16,Tillandsia gardneri,Tillandsia gardneri,15,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,9.375
11,11,16,Tillandsia gardneri,Tillandsia gardneri,15,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,8.75
12,12,16,Tillandsia gardneri,Tillandsia gardneri,15,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,9.366666667
13,13,16,Tillandsia gardneri,Tillandsia gardneri,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,3.605263158
14,14,16,Tillandsia gardneri,Tillandsia gardneri,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,4.3
15,15,16,Tillandsia gardneri,Tillandsia gardneri,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,3
16,16,16,Tillandsia gardneri,Tillandsia gardneri,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,4.125
17,17,16,Vriesea bituminosa,Vriesea bituminosa,15,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,11.4
18,18,16,Vriesea bituminosa,Vriesea bituminosa,15,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,10.85714286
19,19,16,Vriesea bituminosa,Vriesea bituminosa,15,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,10.25
20,20,16,Vriesea bituminosa,Vriesea bituminosa,15,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,11.44444444
21,21,16,Vriesea bituminosa,Vriesea bituminosa,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,5.590909091
22,22,16,Vriesea bituminosa,Vriesea bituminosa,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,6.375
23,23,16,Vriesea bituminosa,Vriesea bituminosa,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,6.25
24,24,16,Vriesea bituminosa,Vriesea bituminosa,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,6.071428571
25,25,16,Vriesea friburgensis,Vriesea friburgensis,15,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,5.230769231
26,26,16,Vriesea friburgensis,Vriesea friburgensis,15,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,2.045454545
27,27,16,Vriesea friburgensis,Vriesea friburgensis,15,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,3.111111111
28,28,16,Vriesea friburgensis,Vriesea friburgensis,15,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,2.6875
29,29,16,Vriesea friburgensis,Vriesea friburgensis,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,1.857142857
30,30,16,Vriesea friburgensis,Vriesea friburgensis,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,1.694444444
31,31,16,Vriesea friburgensis,Vriesea friburgensis,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,3.3
32,32,16,Vriesea friburgensis,Vriesea friburgensis,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,2.5
33,33,16,Tillandsia gardneri,Tillandsia gardneri,15,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,12
34,34,16,Tillandsia gardneri,Tillandsia gardneri,15,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,8.25
35,35,16,Tillandsia gardneri,Tillandsia gardneri,15,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,7.833333333
36,36,16,Tillandsia gardneri,Tillandsia gardneri,15,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,8.75
37,37,16,Tillandsia gardneri,Tillandsia gardneri,15,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,12.5
38,38,16,Tillandsia gardneri,Tillandsia gardneri,15,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,8.9
39,39,16,Tillandsia gardneri,Tillandsia gardneri,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,7.6
40,40,16,Tillandsia gardneri,Tillandsia gardneri,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,6.214285714
41,41,16,Tillandsia gardneri,Tillandsia gardneri,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,6.714285714
42,42,16,Tillandsia gardneri,Tillandsia gardneri,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,7
43,43,16,Tillandsia gardneri,Tillandsia gardneri,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,7.5
44,44,16,Tillandsia gardneri,Tillandsia gardneri,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,7
45,45,16,Vriesea bituminosa,Vriesea bituminosa,15,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,12.875
46,46,16,Vriesea bituminosa,Vriesea bituminosa,15,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,13.83333333
47,47,16,Vriesea bituminosa,Vriesea bituminosa,15,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,13.33333333
48,48,16,Vriesea bituminosa,Vriesea bituminosa,15,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,13.75
49,49,16,Vriesea bituminosa,Vriesea bituminosa,15,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,13.375
50,50,16,Vriesea bituminosa,Vriesea bituminosa,15,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,NA
51,51,16,Vriesea bituminosa,Vriesea bituminosa,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,6.625
52,52,16,Vriesea bituminosa,Vriesea bituminosa,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,6.722222222
53,53,16,Vriesea bituminosa,Vriesea bituminosa,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,7
54,54,16,Vriesea bituminosa,Vriesea bituminosa,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,6.625
55,55,16,Vriesea bituminosa,Vriesea bituminosa,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,6.75
56,56,16,Vriesea bituminosa,Vriesea bituminosa,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,6.75
57,57,16,Vriesea friburgensis,Vriesea friburgensis,15,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,12
58,58,16,Vriesea friburgensis,Vriesea friburgensis,15,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,8.25
59,59,16,Vriesea friburgensis,Vriesea friburgensis,15,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,7.833333333
60,60,16,Vriesea friburgensis,Vriesea friburgensis,15,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,8.75
61,61,16,Vriesea friburgensis,Vriesea friburgensis,15,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,12.5
62,62,16,Vriesea friburgensis,Vriesea friburgensis,15,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,8.9
63,63,16,Vriesea friburgensis,Vriesea friburgensis,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,7.6
64,64,16,Vriesea friburgensis,Vriesea friburgensis,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,6.214285714
65,65,16,Vriesea friburgensis,Vriesea friburgensis,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,6.714285714
66,66,16,Vriesea friburgensis,Vriesea friburgensis,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,7
67,67,16,Vriesea friburgensis,Vriesea friburgensis,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,7.5
68,68,16,Vriesea friburgensis,Vriesea friburgensis,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,7
69,69,25,Baccharis retusa,Baccharis retusa,15,Shrub,Widespread,Xeric,0.44,ND,Baccharis_retusa,21.75
70,70,25,Baccharis retusa,Baccharis retusa,15,Shrub,Widespread,Xeric,0.44,ND,Baccharis_retusa,24
71,71,25,Baccharis retusa,Baccharis retusa,15,Shrub,Widespread,Xeric,0.44,ND,Baccharis_retusa,22.5
72,72,25,Baccharis retusa,Baccharis retusa,15,Shrub,Widespread,Xeric,0.44,ND,Baccharis_retusa,21.5
73,73,25,Baccharis retusa,Baccharis retusa,25,Shrub,Widespread,Xeric,0.44,ND,Baccharis_retusa,22
74,74,25,Baccharis retusa,Baccharis retusa,25,Shrub,Widespread,Xeric,0.44,ND,Baccharis_retusa,25
75,75,25,Baccharis retusa,Baccharis retusa,25,Shrub,Widespread,Xeric,0.44,ND,Baccharis_retusa,27.125
76,76,25,Baccharis retusa,Baccharis retusa,25,Shrub,Widespread,Xeric,0.44,ND,Baccharis_retusa,25.83333333
77,77,41,Aechmea nudicaulis,Aechmea nudicaulis,15,Herb,Widespread,Mesic/Xeric,0.37,ND,Aechmea_nudicaulis,19.21428571
78,78,41,Aechmea nudicaulis,Aechmea nudicaulis,15,Herb,Widespread,Mesic/Xeric,0.37,ND,Aechmea_nudicaulis,19.125
79,79,41,Aechmea nudicaulis,Aechmea nudicaulis,15,Herb,Widespread,Mesic/Xeric,0.37,ND,Aechmea_nudicaulis,19.16666667
80,80,41,Aechmea nudicaulis,Aechmea nudicaulis,15,Herb,Widespread,Mesic/Xeric,0.37,ND,Aechmea_nudicaulis,15.83333333
81,81,41,Aechmea nudicaulis,Aechmea nudicaulis,15,Herb,Widespread,Mesic/Xeric,0.37,ND,Aechmea_nudicaulis,15.83333333
82,82,41,Aechmea nudicaulis,Aechmea nudicaulis,15,Herb,Widespread,Mesic/Xeric,0.37,ND,Aechmea_nudicaulis,15.25
83,83,41,Aechmea nudicaulis,Aechmea nudicaulis,15,Herb,Widespread,Mesic/Xeric,0.37,ND,Aechmea_nudicaulis,15.83333333
84,84,41,Aechmea nudicaulis,Aechmea nudicaulis,15,Herb,Widespread,Mesic/Xeric,0.37,ND,Aechmea_nudicaulis,19.16666667
85,85,41,Aechmea nudicaulis,Aechmea nudicaulis,25,Herb,Widespread,Mesic/Xeric,0.37,ND,Aechmea_nudicaulis,6.714285714
86,86,41,Aechmea nudicaulis,Aechmea nudicaulis,25,Herb,Widespread,Mesic/Xeric,0.37,ND,Aechmea_nudicaulis,5.5
87,87,41,Aechmea nudicaulis,Aechmea nudicaulis,25,Herb,Widespread,Mesic/Xeric,0.37,ND,Aechmea_nudicaulis,5.8
88,88,41,Aechmea nudicaulis,Aechmea nudicaulis,25,Herb,Widespread,Mesic/Xeric,0.37,ND,Aechmea_nudicaulis,6.090909091
89,89,41,Aechmea nudicaulis,Aechmea nudicaulis,25,Herb,Widespread,Mesic/Xeric,0.37,ND,Aechmea_nudicaulis,6.6875
90,90,41,Aechmea nudicaulis,Aechmea nudicaulis,25,Herb,Widespread,Mesic/Xeric,0.37,ND,Aechmea_nudicaulis,5.611111111
91,91,41,Aechmea nudicaulis,Aechmea nudicaulis,25,Herb,Widespread,Mesic/Xeric,0.37,ND,Aechmea_nudicaulis,5.607142857
92,92,41,Aechmea nudicaulis,Aechmea nudicaulis,25,Herb,Widespread,Mesic/Xeric,0.37,ND,Aechmea_nudicaulis,6.1
93,93,41,Neoregelia bahiana,Neoregelia bahiana,15,Herb,Restricted,Xeric,NA,ND,Neoregelia_bahiana,13.5
94,94,41,Neoregelia bahiana,Neoregelia bahiana,15,Herb,Restricted,Xeric,NA,ND,Neoregelia_bahiana,13.92857143
95,95,41,Neoregelia bahiana,Neoregelia bahiana,15,Herb,Restricted,Xeric,NA,ND,Neoregelia_bahiana,13
96,96,41,Neoregelia bahiana,Neoregelia bahiana,15,Herb,Restricted,Xeric,NA,ND,Neoregelia_bahiana,13.625
97,97,41,Neoregelia bahiana,Neoregelia bahiana,15,Herb,Restricted,Xeric,NA,ND,Neoregelia_bahiana,16.16666667
98,98,41,Neoregelia bahiana,Neoregelia bahiana,15,Herb,Restricted,Xeric,NA,ND,Neoregelia_bahiana,16
99,99,41,Neoregelia bahiana,Neoregelia bahiana,15,Herb,Restricted,Xeric,NA,ND,Neoregelia_bahiana,15.4
100,100,41,Neoregelia bahiana,Neoregelia bahiana,15,Herb,Restricted,Xeric,NA,ND,Neoregelia_bahiana,13
101,101,41,Neoregelia bahiana,Neoregelia bahiana,25,Herb,Restricted,Xeric,NA,ND,Neoregelia_bahiana,7
102,102,41,Neoregelia bahiana,Neoregelia bahiana,25,Herb,Restricted,Xeric,NA,ND,Neoregelia_bahiana,6.125
103,103,41,Neoregelia bahiana,Neoregelia bahiana,25,Herb,Restricted,Xeric,NA,ND,Neoregelia_bahiana,6.833333333
104,104,41,Neoregelia bahiana,Neoregelia bahiana,25,Herb,Restricted,Xeric,NA,ND,Neoregelia_bahiana,6.375
105,105,41,Neoregelia bahiana,Neoregelia bahiana,25,Herb,Restricted,Xeric,NA,ND,Neoregelia_bahiana,7.083333333
106,106,41,Neoregelia bahiana,Neoregelia bahiana,25,Herb,Restricted,Xeric,NA,ND,Neoregelia_bahiana,7.5
107,107,41,Neoregelia bahiana,Neoregelia bahiana,25,Herb,Restricted,Xeric,NA,ND,Neoregelia_bahiana,7.333333333
108,108,41,Neoregelia bahiana,Neoregelia bahiana,25,Herb,Restricted,Xeric,NA,ND,Neoregelia_bahiana,6.25
109,109,41,Tillandsia stricta,Tillandsia stricta,15,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_stricta,4.416666667
110,110,41,Tillandsia stricta,Tillandsia stricta,15,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_stricta,5.5
111,111,41,Tillandsia stricta,Tillandsia stricta,15,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_stricta,5.6
112,112,41,Tillandsia stricta,Tillandsia stricta,15,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_stricta,4.7
113,113,41,Tillandsia stricta,Tillandsia stricta,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_stricta,3.409090909
114,114,41,Tillandsia stricta,Tillandsia stricta,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_stricta,3.166666667
115,115,41,Tillandsia stricta,Tillandsia stricta,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_stricta,3.9375
116,116,41,Tillandsia stricta,Tillandsia stricta,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_stricta,4.055555556
117,117,41,Vriesea bituminosa,Vriesea bituminosa,15,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,11.4
118,118,41,Vriesea bituminosa,Vriesea bituminosa,15,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,10.85714286
119,119,41,Vriesea bituminosa,Vriesea bituminosa,15,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,10.25
120,120,41,Vriesea bituminosa,Vriesea bituminosa,15,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,11.44444444
121,121,41,Vriesea bituminosa,Vriesea bituminosa,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,5.590909091
122,122,41,Vriesea bituminosa,Vriesea bituminosa,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,6.375
123,123,41,Vriesea bituminosa,Vriesea bituminosa,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,5.4
124,124,41,Vriesea bituminosa,Vriesea bituminosa,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,6.071428571
125,125,41,Vriesea crassa,Vriesea crassa,15,Herb,Restricted,Xeric,0.98,ND,Vriesea_crassa,7.055555556
126,126,41,Vriesea crassa,Vriesea crassa,15,Herb,Restricted,Xeric,0.98,ND,Vriesea_crassa,7.75
127,127,41,Vriesea crassa,Vriesea crassa,15,Herb,Restricted,Xeric,0.98,ND,Vriesea_crassa,7.5
128,128,41,Vriesea crassa,Vriesea crassa,15,Herb,Restricted,Xeric,0.98,ND,Vriesea_crassa,6.954545455
129,129,41,Vriesea crassa,Vriesea crassa,25,Herb,Restricted,Xeric,0.98,ND,Vriesea_crassa,4.611111111
130,130,41,Vriesea crassa,Vriesea crassa,25,Herb,Restricted,Xeric,0.98,ND,Vriesea_crassa,4.958333333
131,131,41,Vriesea crassa,Vriesea crassa,25,Herb,Restricted,Xeric,0.98,ND,Vriesea_crassa,4.4375
132,132,41,Vriesea crassa,Vriesea crassa,25,Herb,Restricted,Xeric,0.98,ND,Vriesea_crassa,4.392857143
133,133,41,Vriesea friburgensis,Vriesea friburgensis,15,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,5.230769231
134,134,41,Vriesea friburgensis,Vriesea friburgensis,15,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,2.045454545
135,135,41,Vriesea friburgensis,Vriesea friburgensis,15,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,2.416666667
136,136,41,Vriesea friburgensis,Vriesea friburgensis,15,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,2.6875
137,137,41,Vriesea friburgensis,Vriesea friburgensis,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,1.857142857
138,138,41,Vriesea friburgensis,Vriesea friburgensis,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,1.694444444
139,139,41,Vriesea friburgensis,Vriesea friburgensis,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,2.25
140,140,41,Vriesea friburgensis,Vriesea friburgensis,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,1.625
141,141,41,Vriesea minarum,Vriesea minarum,15,Herb,Widespread,Xeric,0.98,ND,Vriesea_minarum,9.625
142,142,41,Vriesea minarum,Vriesea minarum,15,Herb,Widespread,Xeric,0.98,ND,Vriesea_minarum,9.9
143,143,41,Vriesea minarum,Vriesea minarum,15,Herb,Widespread,Xeric,0.98,ND,Vriesea_minarum,9.25
144,144,41,Vriesea minarum,Vriesea minarum,15,Herb,Widespread,Xeric,0.98,ND,Vriesea_minarum,9.428571429
145,145,41,Vriesea minarum,Vriesea minarum,25,Herb,Widespread,Xeric,0.98,ND,Vriesea_minarum,5.5
146,146,41,Vriesea minarum,Vriesea minarum,25,Herb,Widespread,Xeric,0.98,ND,Vriesea_minarum,5.5
147,147,41,Vriesea minarum,Vriesea minarum,25,Herb,Widespread,Xeric,0.98,ND,Vriesea_minarum,5.416666667
148,148,41,Vriesea minarum,Vriesea minarum,25,Herb,Widespread,Xeric,0.98,ND,Vriesea_minarum,4.5
149,149,61,Alcantarea imperialis,Alcantarea imperialis,15,Herb,Restricted,Xeric,1.656,ND,Alcantarea_imperialis,21.5
150,150,61,Alcantarea imperialis,Alcantarea imperialis,15,Herb,Restricted,Xeric,1.656,ND,Alcantarea_imperialis,21.25
151,151,61,Alcantarea imperialis,Alcantarea imperialis,15,Herb,Restricted,Xeric,1.656,ND,Alcantarea_imperialis,20.6
152,152,61,Alcantarea imperialis,Alcantarea imperialis,15,Herb,Restricted,Xeric,1.656,ND,Alcantarea_imperialis,20.125
153,153,61,Alcantarea imperialis,Alcantarea imperialis,25,Herb,Restricted,Xeric,1.656,ND,Alcantarea_imperialis,13.125
154,154,61,Alcantarea imperialis,Alcantarea imperialis,25,Herb,Restricted,Xeric,1.656,ND,Alcantarea_imperialis,12.66666667
155,155,61,Alcantarea imperialis,Alcantarea imperialis,25,Herb,Restricted,Xeric,1.656,ND,Alcantarea_imperialis,12.5
156,156,61,Alcantarea imperialis,Alcantarea imperialis,25,Herb,Restricted,Xeric,1.656,ND,Alcantarea_imperialis,13.5
157,157,71,Trembleya laniflora,Trembleya laniflora,15,Shrub,Restricted,Xeric,0.05,ND,Trembleya_laniflora,15
158,158,71,Trembleya laniflora,Trembleya laniflora,15,Shrub,Restricted,Xeric,0.05,ND,Trembleya_laniflora,20.75
159,159,71,Trembleya laniflora,Trembleya laniflora,15,Shrub,Restricted,Xeric,0.05,ND,Trembleya_laniflora,19.75
160,160,71,Trembleya laniflora,Trembleya laniflora,15,Shrub,Restricted,Xeric,0.05,ND,Trembleya_laniflora,22.5
161,161,71,Trembleya laniflora,Trembleya laniflora,25,Shrub,Restricted,Xeric,0.05,ND,Trembleya_laniflora,15.5
162,162,71,Trembleya laniflora,Trembleya laniflora,25,Shrub,Restricted,Xeric,0.05,ND,Trembleya_laniflora,15.5
163,163,71,Trembleya laniflora,Trembleya laniflora,25,Shrub,Restricted,Xeric,0.05,ND,Trembleya_laniflora,15.83333333
164,164,71,Trembleya laniflora,Trembleya laniflora,25,Shrub,Restricted,Xeric,0.05,ND,Trembleya_laniflora,14.75
165,165,77,Calliandra fasciculata,Calliandra fasciculata,15,Shrub,Widespread,Mesic,43.67,ND,Calliandra_fasciculata,2.46875
166,166,77,Calliandra fasciculata,Calliandra fasciculata,15,Shrub,Widespread,Mesic,43.67,ND,Calliandra_fasciculata,2.454545455
167,167,77,Calliandra fasciculata,Calliandra fasciculata,15,Shrub,Widespread,Mesic,43.67,ND,Calliandra_fasciculata,2.633333333
168,168,77,Calliandra fasciculata,Calliandra fasciculata,15,Shrub,Widespread,Mesic,43.67,ND,Calliandra_fasciculata,2.4
169,169,77,Calliandra fasciculata,Calliandra fasciculata,25,Shrub,Widespread,Mesic,43.67,ND,Calliandra_fasciculata,1.575
170,170,77,Calliandra fasciculata,Calliandra fasciculata,25,Shrub,Widespread,Mesic,43.67,ND,Calliandra_fasciculata,1.543478261
171,171,77,Calliandra fasciculata,Calliandra fasciculata,25,Shrub,Widespread,Mesic,43.67,ND,Calliandra_fasciculata,1.520833333
172,172,77,Calliandra fasciculata,Calliandra fasciculata,25,Shrub,Widespread,Mesic,43.67,ND,Calliandra_fasciculata,1.694444444
173,173,78,Mimosa foliolosa subsp. pachycarpa,Mimosa foliolosa subsp. pachycarpa,15,Shrub,Widespread,Xeric,7.67,D,Mimosa_foliolosa,5.916666667
174,174,78,Mimosa foliolosa subsp. pachycarpa,Mimosa foliolosa subsp. pachycarpa,15,Shrub,Widespread,Xeric,7.67,D,Mimosa_foliolosa,8.333333333
175,175,78,Mimosa foliolosa subsp. pachycarpa,Mimosa foliolosa subsp. pachycarpa,15,Shrub,Widespread,Xeric,7.67,D,Mimosa_foliolosa,6.8125
176,176,78,Mimosa foliolosa subsp. pachycarpa,Mimosa foliolosa subsp. pachycarpa,15,Shrub,Widespread,Xeric,7.67,D,Mimosa_foliolosa,6.9
177,177,78,Mimosa foliolosa subsp. pachycarpa,Mimosa foliolosa subsp. pachycarpa,25,Shrub,Widespread,Xeric,7.67,D,Mimosa_foliolosa,3.307692308
178,178,78,Mimosa foliolosa subsp. pachycarpa,Mimosa foliolosa subsp. pachycarpa,25,Shrub,Widespread,Xeric,7.67,D,Mimosa_foliolosa,3.227272727
179,179,78,Mimosa foliolosa subsp. pachycarpa,Mimosa foliolosa subsp. pachycarpa,25,Shrub,Widespread,Xeric,7.67,D,Mimosa_foliolosa,3.4
