n,ID,Species_reported,Species_accepted,Temperature,Growth_form,Distribution,Microhabitat,Dry_mass,Dormancy,Species_acceptedLCVP,t50_Farooq
1,14,Mimosa calodendron,Mimosa calodendron,25,Shrub,Restricted,Xeric,7.76,D,Mimosa_calodendron,3.70588235294118
2,14,Mimosa calodendron,Mimosa calodendron,25,Shrub,Restricted,Xeric,7.76,D,Mimosa_calodendron,4.15
3,14,Mimosa calodendron,Mimosa calodendron,25,Shrub,Restricted,Xeric,7.76,D,Mimosa_calodendron,4.125
4,14,Mimosa calodendron,Mimosa calodendron,25,Shrub,Restricted,Xeric,7.76,D,Mimosa_calodendron,3.75
5,14,Mimosa calodendron,Mimosa calodendron,35,Shrub,Restricted,Xeric,7.76,D,Mimosa_calodendron,5.33333333333333
6,14,Mimosa calodendron,Mimosa calodendron,35,Shrub,Restricted,Xeric,7.76,D,Mimosa_calodendron,5.5
7,14,Mimosa calodendron,Mimosa calodendron,35,Shrub,Restricted,Xeric,7.76,D,Mimosa_calodendron,3.83333333333333
8,14,Mimosa calodendron,Mimosa calodendron,35,Shrub,Restricted,Xeric,7.76,D,Mimosa_calodendron,2.875
9,16,Tillandsia gardneri,Tillandsia gardneri,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,3.60526315789474
10,16,Tillandsia gardneri,Tillandsia gardneri,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,4.3
11,16,Tillandsia gardneri,Tillandsia gardneri,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,3
12,16,Tillandsia gardneri,Tillandsia gardneri,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,4.125
13,16,Tillandsia gardneri,Tillandsia gardneri,35,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,4.28571428571429
14,16,Tillandsia gardneri,Tillandsia gardneri,35,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,4.39285714285714
15,16,Tillandsia gardneri,Tillandsia gardneri,35,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,4.32142857142857
16,16,Tillandsia gardneri,Tillandsia gardneri,35,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri,4.28125
17,16,Vriesea bituminosa,Vriesea bituminosa,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,5.59090909090909
18,16,Vriesea bituminosa,Vriesea bituminosa,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,6.375
19,16,Vriesea bituminosa,Vriesea bituminosa,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,6.25
20,16,Vriesea bituminosa,Vriesea bituminosa,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,6.07142857142857
21,16,Vriesea bituminosa,Vriesea bituminosa,35,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,6.66666666666667
22,16,Vriesea bituminosa,Vriesea bituminosa,35,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,6
23,16,Vriesea bituminosa,Vriesea bituminosa,35,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,7.25
24,16,Vriesea bituminosa,Vriesea bituminosa,35,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa,7.07142857142857
25,16,Vriesea friburgensis,Vriesea friburgensis,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,1.85714285714286
26,16,Vriesea friburgensis,Vriesea friburgensis,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,1.69444444444444
27,16,Vriesea friburgensis,Vriesea friburgensis,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,3.3
28,16,Vriesea friburgensis,Vriesea friburgensis,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis,2.5
