"Species_reported","Species_acceptedLCVP"
"Xyris cipoensis","Xyris_cipoensis"
"Xyris longiscapa","Xyris_longiscapa"
"Xyris platystachya","Xyris_platystachya"
"Xyris trachyphylla","Xyris_trachyphylla"
"Alstroemeria isabelleana","Alstroemeria_isabellana"
"Hippeastrum morelianum","Hippeastrum_morelianum"
"Eryngium glaziovianum","Eryngium_glaziouvianum"
"Austrocritonia velutina","Austrocritonia_velutina"
"Baccharis maxima","Baccharis_maxima"
"Baccharis semiserrata","Baccharis_semiserrata"
"Graphistylis argyrotricha","Graphistylis_argyrotricha"
"Graphistylis dichroa","Graphistylis_dichroa"
"Pentacalia desiderabilis","Pentacalia_desiderabilis"
"Senecio adamantinus","Senecio_adamantinus"
"Senecio brasiliensis","Senecio_brasiliensis"
"Senecio oleosus","Senecio_oleosus"
"Trixis glaziovii","Trixis_glaziouvii"
"Verbesina glabrata","Verbesina_glabrata"
"Begonia occhionii","Begonia_occhionii"
"Berberis campos-portoi","Berberis_camposportoi"
"Vriesea bituminosa","Vriesea_bituminosa"
"Vriesea itatiaiae","Vriesea_itatiaiae"
"Maytenus boaria","Maytenus_boaria"
"Clethra scabra var. laevigata","Clethra_scabra"
"Carex brasiliensis","Carex_brasiliensis"
"Agarista hispidula","Agarista_hispidula"
"Gaultheria serrata","Gaultheria_serrata"
"Eriocaulon majusculum","Eriocaulon_majusculum"
"Paepalanthus itatiaiensis","Paepalanthus_itatiaiensis"
"Escallonia bifida","Escallonia_bifida"
"Lupinus gibertianus","Lupinus_gibertianus"
"Senna itatiaiae","Senna_itatiaiae"
"Gelasine coerulea","Gelasine_caerulea"
"Sisyrinchium marginatum","Sisyrinchium_palmifolium"
"Sisyrinchium wettsteinii","Sisyrinchium_wettsteinii"
"Lepechinia speciosa","Lepechinia_speciosa"
"Leandra quinquedentata","Leandra_quinquedentata"
"Pleroma echinatum","Tibouchina_echinata"
"Pleroma foveolatum","Tibouchina_foveolata"
"Pleroma hospitum","Tibouchina_hospita"
"Tibouchina itatiaiae","Tibouchina_itatiaiae"
"Esterhazya eitenorum","Esterhazya_eitenorum"
"Plantago australis","Plantago_australis"
