Species_acceptedLCVP,Growth_form,Distribution,Microhabitat,Dispersal_syndrome
Xyris_cipoensis,Herb,Restricted,Mesic,Autochory
Xyris_longiscapa,Herb,Restricted,Mesic,Autochory
Xyris_platystachya,Herb,Widespread,Mesic,Autochory
Xyris_trachyphylla,Herb,Widespread,Mesic,Autochory
Alstroemeria_isabellana,Herb,Widespread,Xeric,Autochory
Hippeastrum_morelianum,Herb,Restricted,Xeric,Autochory
Eryngium_glaziouvianum,Herb,Restricted,Xeric,Autochory
Austrocritonia_velutina,Shrub,Widespread,Xeric,Anemochory
Baccharis_maxima,Shrub,Restricted,Xeric,Anemochory
Baccharis_semiserrata,Shrub,Widespread,Xeric,Anemochory
Graphistylis_argyrotricha,Herb,Restricted,Xeric,Anemochory
Graphistylis_dichroa,Herb,Restricted,Xeric,Anemochory
Senecio_adamantinus,Shrub,Widespread,Xeric,Anemochory
Senecio_brasiliensis,Shrub,Widespread,Xeric,Anemochory
Senecio_oleosus,Herb,Restricted,Xeric,Anemochory
Trixis_glaziouvii,Herb,Widespread,Xeric,Anemochory
Verbesina_glabrata,Shrub,Widespread,Xeric,Anemochory
Begonia_occhionii,Shrub,Widespread,Xeric,Autochory
Berberis_camposportoi,Shrub,Widespread,Xeric,Zoochory
Vriesea_itatiaiae,Herb,Widespread,Xeric,Anemochory
Clethra_scabra,Shrub,Widespread,Xeric,Autochory
Carex_brasiliensis,Herb,Widespread,Mesic/Xeric,Autochory
Agarista_hispidula,Shrub,Restricted,Xeric,Autochory
Gaultheria_serrata,Shrub,Restricted,Xeric,Zoochory
Eriocaulon_majusculum,Herb,Restricted,Mesic,Autochory
Paepalanthus_itatiaiensis,Herb,Restricted,Xeric,Anemochory
Escallonia_bifida,Shrub,Widespread,Xeric,Anemochory
Lupinus_gibertianus,Herb,Widespread,Xeric,Autochory
Senna_itatiaiae,Shrub,Widespread,Xeric,Autochory
Gelasine_caerulea,Herb,Widespread,Xeric,Autochory
Sisyrinchium_palmifolium,Herb,Widespread,Xeric,Autochory
Sisyrinchium_wettsteinii,Herb,Widespread,Mesic/Xeric,Autochory
Leandra_quinquedentata,Shrub,Widespread,Xeric,Zoochory
Tibouchina_echinata,Shrub,Widespread,Xeric,Autochory
Tibouchina_foveolata,Shrub,Widespread,Xeric,Autochory
Tibouchina_hospita,Shrub,Widespread,Xeric,Autochory
Tibouchina_itatiaiae,Shrub,Widespread,Xeric,Autochory
Esterhazya_eitenorum,Shrub,Widespread,Xeric,Autochory
Plantago_australis,Herb,Widespread,Xeric,Autochory
Myrsine_gardneriana,Shrub,Widespread,Xeric,Zoochory
Roupala_montana,Shrub,Widespread,Xeric,Anemochory
Coccocypselum_condalia,Herb,Widespread,Xeric,Zoochory
Galium_hypocarpium,Herb,Widespread,Xeric,Zoochory
Buddleja_speciosissima,Shrub,Restricted,Xeric,Autochory
Barbacenia_gounelleana,Herb,Restricted,Xeric,Autochory
Xyris_stenophylla,Herb,Widespread,Mesic/Xeric,Autochory
Stachytarpheta_ajugifolia,Shrub,Restricted,Xeric,Autochory
Stachytarpheta_spathulata,Shrub,Restricted,Xeric,Autochory
Stachytarpheta_commutata,Shrub,Restricted,Xeric,Autochory
Stachytarpheta_confertifolia,Herb,Restricted,Xeric,Autochory
Stachytarpheta_discolor,Shrub,Restricted,Xeric,Autochory
Stachytarpheta_glabra,Shrub,Restricted,Xeric,Autochory
Stachytarpheta_harleyi,Shrub,Restricted,Xeric,Autochory
Stachytarpheta_martiana,Shrub,Widespread,Xeric,Autochory
Stachytarpheta_mexiae,Shrub,Widespread,Mesic/Xeric,Autochory
Stachytarpheta_reticulata,Shrub,Widespread,Mesic/Xeric,Autochory
Stachytarpheta_sellowiana,Shrub,Restricted,Xeric,Autochory
Barbacenia_purpurea,Herb,Restricted,Xeric,Autochory
Barbacenia_williamsii,Herb,Restricted,Xeric,Autochory
Vellozia_alata,Shrub,Restricted,Xeric,Autochory
Vellozia_compacta,Shrub,Restricted,Xeric,Autochory
Vellozia_glochidea,Shrub,Widespread,Xeric,Autochory
Nanuza_plicata,Shrub,Widespread,Xeric,Autochory
Comanthera_mucugensis,Herb,Restricted,Xeric,Anemochory
Comanthera_brasiliana,Herb,Restricted,Xeric,Anemochory
Comanthera_brunnea,Herb,Restricted,Xeric,Anemochory
Comanthera_linearis,Herb,Widespread,Xeric,Anemochory
Comanthera_magnifica,Herb,Restricted,Xeric,Anemochory
Comanthera_suberosa,Herb,Restricted,Xeric,Anemochory
Chamaecrista_desvauxii,Shrub,Widespread,Mesic/Xeric,Autochory
Chamaecrista_blanchetii,Shrub,Widespread,Mesic/Xeric,Autochory
Chamaecrista_chapadae,Shrub,Restricted,Mesic,Autochory
Chamaecrista_glaucofilix,Shrub,Restricted,Xeric,Autochory
Chamaecrista_rotundifolia,Shrub,Widespread,Mesic/Xeric,Autochory
Mimosa_calodendron,Shrub,Restricted,Xeric,Autochory
Eryngium_horridum,Herb,Widespread,Xeric,Autochory
Heterocondylus_pumilus,Shrub,Widespread,Xeric,Anemochory
Lepidaploa_rufogrisea,Shrub,Restricted,Xeric,Anemochory
Mikania_itambana,Shrub,Restricted,Xeric,Anemochory
Vriesea_atropurpurea,Herb,Restricted,Xeric,Anemochory
Davilla_grandiflora,Shrub,Widespread,Xeric,Zoochory
Agarista_virgata,Shrub,Restricted,Xeric,Autochory
Gaylussacia_montana,Shrub,Restricted,Xeric,Zoochory
Gaylussacia_reticulata,Shrub,Restricted,Xeric,Zoochory
Mimosa_macedoana,Shrub,Restricted,Xeric,Autochory
Calolisianthus_pedunculatus,Herb,Widespread,Xeric,Autochory
Pseudotrimezia_juncifolia,Herb,Widespread,Xeric,Autochory
Cambessedesia_corymbosa,Shrub,Widespread,Xeric,Autochory
Luxemburgia_ciliatibracteata,Shrub,Restricted,Xeric,Autochory
Luxemburgia_damazioana,Shrub,Restricted,Xeric,Autochory
Esterhazya_splendida,Shrub,Widespread,Xeric,Autochory
Physocalyx_major,Shrub,Restricted,Xeric,Autochory
Polygala_paniculata,Herb,Widespread,Xeric,Autochory
Declieuxia_fruticosa,Shrub,Widespread,Xeric,Zoochory
Palicourea_rigida,Shrub,Widespread,Xeric,Zoochory
Vellozia_nanuzae,Shrub,Restricted,Xeric,Autochory
Vochysia_pygmaea,Shrub,Widespread,Xeric,Anemochory
Tillandsia_gardneri,Herb,Widespread,Mesic/Xeric,Anemochory
Vriesea_bituminosa,Herb,Widespread,Mesic/Xeric,Anemochory
Vriesea_friburgensis,Herb,Widespread,Mesic,Anemochory
Comanthera_bisulcata,Herb,Widespread,Mesic,Anemochory
Syngonanthus_verticillatus,Herb,Widespread,Mesic/Xeric,Anemochory
Echinolaena_inflexa,Herb,Widespread,Mesic/Xeric,Autochory
Homolepis_longispicula,Herb,Widespread,Mesic/Xeric,Anemochory
Vellozia_resinosa,Shrub,Restricted,Xeric,Autochory
Vellozia_alutacea,Shrub,Widespread,Mesic/Xeric,Autochory
Xyris_pilosa,Herb,Restricted,Mesic,Autochory
Andropogon_bicornis,Herb,Restricted,Mesic/Xeric,Anemochory
Andropogon_leucostachyus,Herb,Widespread,Xeric,Anemochory
Panicum_euprepes,Herb,Restricted,Mesic/Xeric,Autochory
Cenchrus_brownii,Herb,Widespread,Mesic/Xeric,Zoochory
Setaria_parviflora,Herb,Widespread,Mesic/Xeric,Autochory
Axonopus_laxiflorus,Herb,Widespread,Xeric,Autochory
Sporobolus_metallicola,Herb,Widespread,Xeric,Autochory
Baccharis_reticularia,Shrub,Widespread,Mesic/Xeric,Anemochory
Chromolaena_squalida,Shrub,Widespread,Mesic/Xeric,Anemochory
Dasyphyllum_sprengelianum,Shrub,Widespread,Mesic/Xeric,Anemochory
Bulbostylis_fimbriata,Herb,Widespread,Mesic/Xeric,Autochory
Senna_reniformis,Shrub,Widespread,Mesic/Xeric,Autochory
Diplusodon_microphyllus,Shrub,Restricted,Mesic/Xeric,Anemochory
Miconia_ligustroides,Shrub,Widespread,Mesic/Xeric,Zoochory
Tibouchina_heteromalla,Shrub,Widespread,Mesic/Xeric,Autochory
Tibouchina_semidecandra,Shrub,Widespread,Mesic/Xeric,Autochory
Cambessedesia_hilariana,Shrub,Widespread,Xeric,Autochory
Baccharis_retusa,Shrub,Widespread,Xeric,Anemochory
Vellozia_gigantea,Shrub,Restricted,Xeric,Autochory
