Species_acceptedLCVP,Growth_form,Distribution,Microhabitat,Dormancy
Acisanthera_alsinefolia,Shrub,Widespread,Mesic,ND
Actinocephalus_geniculatus,Herb,Widespread,Xeric,ND
Actinocephalus_incanus,Herb,Restricted,Xeric,ND
Aechmea_nudicaulis,Herb,Widespread,Mesic/Xeric,ND
Agarista_hispidula,Shrub,Restricted,Xeric,ND
Agarista_virgata,Shrub,Restricted,Xeric,ND
Alcantarea_imperialis,Herb,Restricted,Xeric,ND
Alstroemeria_isabellana,Herb,Widespread,Xeric,ND
Andropogon_bicornis,Herb,Restricted,Mesic/Xeric,D
Andropogon_leucostachyus,Herb,Widespread,Xeric,D
Anemopaegma_paraense,Shrub,Restricted,Xeric,ND
Aristida_torta,Herb,Widespread,Xeric,D
Austrocritonia_velutina,Shrub,Widespread,Xeric,D
Axonopus_longispicus,Herb,Widespread,Mesic,ND
Baccharis_maxima,Shrub,Restricted,Xeric,ND
Baccharis_retusa,Shrub,Widespread,Xeric,ND
Baccharis_semiserrata,Shrub,Widespread,Xeric,D
Barbacenia_gounelleana,Herb,Restricted,Xeric,D
Barbacenia_purpurea,Herb,Restricted,Xeric,ND
Barbacenia_williamsii,Herb,Restricted,Xeric,ND
Bauhinia_pulchella,Shrub,Widespread,Mesic/Xeric,D
Bauhinia_pulchella2,Shrub,Widespread,Mesic/Xeric,ND
Begonia_occhionii,Shrub,Widespread,Xeric,ND
Berberis_camposportoi,Shrub,Widespread,Xeric,D
Brasilianthus_carajensis,Herb,Restricted,Mesic/Xeric,ND
Buchnera_carajasensis,Herb,Widespread,Mesic,D
Buddleja_speciosissima,Shrub,Restricted,Xeric,ND
Bulbostylis_cangae,Herb,Restricted,Xeric,D
Bulbostylis_conifera,Herb,Widespread,Xeric,D
Bulbostylis_emmerichiae,Herb,Widespread,Mesic,ND
Bulbostylis_paradoxa,Herb,Widespread,Mesic/Xeric,ND
Calliandra_fasciculata,Shrub,Widespread,Mesic,ND
Calolisianthus_pedunculatus,Herb,Widespread,Xeric,ND
Calolisianthus_purpurascens,Herb,Widespread,Mesic,ND
Cambessedesia_corymbosa,Shrub,Widespread,Xeric,ND
Cambessedesia_hilariana,Shrub,Widespread,Xeric,ND
Cambessedesia_regnelliana,Shrub,Widespread,Xeric,ND
Carajasia_cangae,Herb,Restricted,Xeric,D
Carex_brasiliensis,Herb,Widespread,Mesic/Xeric,D
Cattleya_crispata,Herb,Restricted,Xeric,ND
Cavalcantia_glomerata,Herb,Widespread,Xeric,D
Cavalcantia_percymosa,Herb,Widespread,Mesic,D
Cenchrus_brownii,Herb,Widespread,Mesic/Xeric,D
Chaetostoma_armatum,Shrub,Widespread,Xeric,D
Chamaecrista_blanchetii,Shrub,Widespread,Mesic/Xeric,D
Chamaecrista_cathartica,Shrub,Restricted,Xeric,D
Chamaecrista_chapadae,Shrub,Restricted,Mesic,D
Chamaecrista_cipoana,Shrub,Widespread,Xeric,D
Chamaecrista_dentata,Shrub,Widespread,Xeric,D
Chamaecrista_desvauxii,Shrub,Widespread,Mesic/Xeric,D
Chamaecrista_desvauxii2,Herb,Widespread,Mesic/Xeric,D
Chamaecrista_desvauxii3,Shrub,Widespread,Mesic/Xeric,ND
Chamaecrista_glaucofilix,Shrub,Restricted,Xeric,D
Chamaecrista_latifolia,Herb,Restricted,Mesic/Xeric,D
Chamaecrista_mucronata,Herb,Widespread,Xeric,D
Chamaecrista_ochnacea,Herb,Widespread,Xeric,D
Chamaecrista_ramosa,Shrub,Widespread,Xeric,D
Chamaecrista_rotundifolia,Shrub,Widespread,Mesic/Xeric,D
Chamaecrista_semaphora,Shrub,Restricted,Xeric,D
Chamaecrista_venulosa,Herb,Restricted,Mesic/Xeric,D
Clethra_scabra,Shrub,Widespread,Xeric,ND
Clidemia_capitellata,Shrub,Widespread,Xeric,ND
Clidemia_urceolata,Shrub,Widespread,Xeric,ND
Coccocypselum_condalia,Herb,Widespread,Xeric,D
Collaea_cipoensis,Shrub,Restricted,Mesic/Xeric,D
Collaea_cipoensis2,Shrub,Restricted,Mesic/Xeric,ND
Comanthera_aciphylla,Herb,Widespread,Xeric,ND
Comanthera_bisulcata,Herb,Widespread,Mesic,ND
Comanthera_bisulcata2,Herb,Widespread,Mesic,D
Comanthera_brasiliana,Herb,Restricted,Xeric,ND
Comanthera_brunnea,Herb,Restricted,Xeric,ND
Comanthera_elegans,Herb,Restricted,Mesic/Xeric,ND
Comanthera_linearis,Herb,Widespread,Xeric,ND
Comanthera_magnifica,Herb,Restricted,Xeric,ND
Comanthera_mucugensis,Herb,Restricted,Xeric,ND
Comanthera_nivea,Herb,Restricted,Mesic/Xeric,ND
Comanthera_suberosa,Herb,Restricted,Xeric,ND
Comolia_sessilis,Shrub,Widespread,Xeric,ND
Cryptanthus_schwackeanus,Herb,Restricted,Xeric,ND
Davilla_grandiflora,Shrub,Widespread,Xeric,D
