Species_acceptedLCVP,Growth_form,Distribution,Microhabitat,Mass
Acisanthera_alsinefolia,Shrub,Widespread,Mesic,0.000925
Agarista_hispidula,Shrub,Restricted,Xeric,0.1
Alcantarea_imperialis,Herb,Restricted,Xeric,1.656
Alstroemeria_isabellana,Herb,Widespread,Xeric,30.5
Anemopaegma_paraense,Shrub,Restricted,Xeric,36.637
Austrocritonia_velutina,Shrub,Widespread,Xeric,0.27
Axonopus_laxiflorus,Herb,Widespread,Xeric,0.124
Axonopus_longispicus,Herb,Widespread,Mesic,0.17825
Axonopus_siccus,Herb,Widespread,Xeric,0.22975
Baccharis_maxima,Shrub,Restricted,Xeric,0.98
Baccharis_reticularia,Shrub,Widespread,Mesic/Xeric,0.27
Baccharis_semiserrata,Shrub,Widespread,Xeric,0.06
Barbacenia_gounelleana,Herb,Restricted,Xeric,0.13
Barbacenia_purpurea,Herb,Restricted,Xeric,0.2
Barbacenia_williamsii,Herb,Restricted,Xeric,0.13
Bauhinia_pulchella,Shrub,Widespread,Mesic/Xeric,46.8625
Begonia_occhionii,Shrub,Widespread,Xeric,0.001
Berberis_camposportoi,Shrub,Widespread,Xeric,15.5
Brasilianthus_carajensis,Herb,Restricted,Mesic/Xeric,0.03275
Buchnera_carajasensis,Herb,Widespread,Mesic,0.02525
Buddleja_speciosissima,Shrub,Restricted,Xeric,0.3
Bulbostylis_cangae,Herb,Restricted,Xeric,0.137
Bulbostylis_conifera,Herb,Widespread,Xeric,0.86
Bulbostylis_fimbriata,Herb,Widespread,Mesic/Xeric,0.09
Calolisianthus_purpurascens,Herb,Widespread,Mesic,0.02075
Carajasia_cangae,Herb,Restricted,Xeric,0.05775
Carex_brasiliensis,Herb,Widespread,Mesic/Xeric,0.48
Cavalcantia_glomerata,Herb,Widespread,Xeric,0.05275
Cavalcantia_percymosa,Herb,Widespread,Mesic,0.0665
Chaetostoma_armatum,Shrub,Widespread,Xeric,6.00E-04
Chamaecrista_cathartica,Shrub,Restricted,Xeric,8.55
Chamaecrista_cipoana,Shrub,Widespread,Xeric,20.58
Chamaecrista_dentata,Shrub,Widespread,Xeric,25.38
Chamaecrista_desvauxii,Shrub,Widespread,Mesic/Xeric,5.366875
Chamaecrista_latifolia,Herb,Restricted,Mesic/Xeric,21.75
Chamaecrista_mucronata,Herb,Widespread,Xeric,9.4
Chamaecrista_ochnacea,Herb,Widespread,Xeric,15.87
Chamaecrista_ramosa,Shrub,Widespread,Xeric,4.78
Chamaecrista_rotundifolia,Herb,Widespread,Xeric,2.24
Chamaecrista_semaphora,Shrub,Restricted,Xeric,14.38
Chamaecrista_venulosa,Herb,Restricted,Mesic/Xeric,5.18
Chromolaena_squalida,Shrub,Widespread,Mesic/Xeric,0.43
Clethra_scabra,Shrub,Widespread,Xeric,0.29
Clidemia_capitellata,Shrub,Widespread,Xeric,0.0017
Clidemia_urceolata,Shrub,Widespread,Xeric,0.00265
Coccocypselum_condalia,Herb,Widespread,Xeric,0.5
Comanthera_aciphylla,Herb,Widespread,Xeric,0.015
Comanthera_bisulcata,Herb,Widespread,Mesic,1.26
Comanthera_brasiliana,Herb,Restricted,Xeric,0.036
Comanthera_centauroides,Herb,Widespread,Xeric,0.095
Comanthera_elegans,Herb,Restricted,Mesic/Xeric,1.5
Comanthera_elegantula,Herb,Restricted,Xeric,1.3
Comanthera_magnifica,Herb,Restricted,Xeric,0.044
Comanthera_suberosa,Herb,Restricted,Xeric,0.045
Dasyphyllum_sprengelianum,Shrub,Widespread,Mesic/Xeric,19.2
Diplusodon_microphyllus,Shrub,Restricted,Mesic/Xeric,0.69
Dyckia_duckei,Herb,Restricted,Xeric,0.976
Epidendrum_nocturnum,Herb,Widespread,Mesic/Xeric,0.5638
Eriocaulon_majusculum,Herb,Restricted,Mesic,0.17
Eryngium_glaziouvianum,Herb,Restricted,Xeric,2.54
Escallonia_bifida,Shrub,Widespread,Xeric,0.005
Esterhazya_eitenorum,Shrub,Widespread,Xeric,0.11
Fritzschia_sertularia,Shrub,Widespread,Xeric,0.01155
Galium_hypocarpium,Herb,Widespread,Xeric,0.85
Gaultheria_serrata,Shrub,Restricted,Xeric,0.04
Gelasine_caerulea,Herb,Widespread,Xeric,2.55
Graphistylis_argyrotricha,Herb,Restricted,Xeric,0.99
Graphistylis_dichroa,Herb,Restricted,Xeric,1.06
Hippeastrum_morelianum,Herb,Restricted,Xeric,7.7
Hypolytrum_paraense,Herb,Widespread,Mesic,12.611
Lavoisiera_caryophyllea,Shrub,Widespread,Mesic,0.0025
Lavoisiera_confertiflora,Shrub,NA,Xeric,0.0023
Lavoisiera_cordata,Shrub,Restricted,Xeric,0.00995
Lavoisiera_crassifolia,Shrub,Widespread,Xeric,0.0027
Lavoisiera_imbricata,Shrub,Widespread,Mesic,0.0024
Lavoisiera_subulata,Shrub,Widespread,Mesic,0.00275
Leandra_quinquedentata,Shrub,Widespread,Xeric,0.25
Lepechinia_speciosa,Shrub,Restricted,Xeric,3.98
Lepidaploa_arenaria,Shrub,Widespread,Xeric,0.49575
Lepidaploa_paraensis,Shrub,Widespread,Mesic/Xeric,0.287
Lupinus_gibertianus,Herb,Widespread,Xeric,15.9
Marcetia_taxifolia,Shrub,Widespread,Xeric,9.00E-04
Miconia_albicans,Shrub,Widespread,Xeric,0.007425
Miconia_alborufescens,Shrub,Widespread,Xeric,0.01245
Miconia_cipoensis,Shrub,Restricted,Xeric,0.027725
