Species_acceptedLCVP,Growth_form,Distribution,Microhabitat,Dispersal_period
Xyris_cipoensis,Herb,Restricted,Mesic,ED
Xyris_longiscapa,Herb,Restricted,Mesic,ED
Xyris_platystachya,Herb,Widespread,Mesic,LD
Xyris_trachyphylla,Herb,Widespread,Mesic,LD
Alstroemeria_isabellana,Herb,Widespread,Xeric,LR
Austrocritonia_velutina,Shrub,Widespread,Xeric,ED
Baccharis_semiserrata,Shrub,Widespread,Xeric,LD
Graphistylis_argyrotricha,Herb,Restricted,Xeric,ED
Graphistylis_dichroa,Herb,Restricted,Xeric,LD
Senecio_adamantinus,Shrub,Widespread,Xeric,ED
Senecio_brasiliensis,Shrub,Widespread,Xeric,ER
Eriocaulon_majusculum,Herb,Restricted,Mesic,ER
Paepalanthus_itatiaiensis,Herb,Restricted,Xeric,ER
Escallonia_bifida,Shrub,Widespread,Xeric,ER
Senna_itatiaiae,Shrub,Widespread,Xeric,ED
Lepechinia_speciosa,Shrub,Restricted,Xeric,ED
Tibouchina_echinata,Shrub,Widespread,Xeric,LD
Tibouchina_foveolata,Shrub,Widespread,Xeric,LR
Plantago_australis,Herb,Widespread,Xeric,ED
Myrsine_gardneriana,Shrub,Widespread,Xeric,ER
Barbacenia_gounelleana,Herb,Restricted,Xeric,LD
Stachytarpheta_ajugifolia,Shrub,Restricted,Xeric,LD
Stachytarpheta_spathulata,Shrub,Restricted,Xeric,LD
Stachytarpheta_commutata,Shrub,Restricted,Xeric,LD
Stachytarpheta_confertifolia,Herb,Restricted,Xeric,LR
Stachytarpheta_discolor,Shrub,Restricted,Xeric,LD
Stachytarpheta_glabra,Shrub,Restricted,Xeric,LD
Stachytarpheta_harleyi,Shrub,Restricted,Xeric,LD
Stachytarpheta_martiana,Shrub,Widespread,Xeric,LD
Stachytarpheta_reticulata,Shrub,Widespread,Mesic/Xeric,LD
Stachytarpheta_sellowiana,Shrub,Restricted,Xeric,LR
Syngonanthus_verticillatus,Herb,Widespread,Mesic/Xeric,ER
Barbacenia_purpurea,Herb,Restricted,Xeric,LR
Barbacenia_williamsii,Herb,Restricted,Xeric,LR
Vellozia_alata,Shrub,Restricted,Xeric,LR
Vellozia_compacta,Shrub,Restricted,Xeric,LR
Vellozia_glochidea,Shrub,Widespread,Xeric,LR
Nanuza_plicata,Shrub,Widespread,Xeric,LR
Comanthera_mucugensis,Herb,Restricted,Xeric,LD
Comanthera_brasiliana,Herb,Restricted,Xeric,ED
Comanthera_brunnea,Herb,Restricted,Xeric,ED
Comanthera_linearis,Herb,Widespread,Xeric,ED
Comanthera_magnifica,Herb,Restricted,Xeric,ER
Comanthera_suberosa,Herb,Restricted,Xeric,ED
Eryngium_horridum,Herb,Widespread,Xeric,LR
Heterocondylus_pumilus,Shrub,Widespread,Xeric,LD
