"","Order","Family","Genus","Species_reported","Growth_form","Distribution","Microhabitat","Dispersal_period","Dispersal_syndrome","Embryoless","Viable","Dry_mass","Water_content","Dormancy","Species_acceptedLCVP"
"1","Poales","Xyridaceae","Xyris","Xyris cipoensis","Herb","Restricted","Mesic","ED","Autochory",NA,NA,0.01,14.3,"ND","Xyris_cipoensis"
"2","Poales","Xyridaceae","Xyris","Xyris longiscapa","Herb","Restricted","Mesic","ED","Autochory",NA,NA,0.0019,12.7,"ND","Xyris_longiscapa"
"3","Poales","Xyridaceae","Xyris","Xyris platystachya","Herb","Widespread","Mesic","LD","Autochory",NA,NA,0.0075,14.2,"ND","Xyris_platystachya"
"4","Poales","Xyridaceae","Xyris","Xyris trachyphylla","Herb","Widespread","Mesic","LD","Autochory",NA,NA,0.0031,11.5,"ND","Xyris_trachyphylla"
"5","Liliales","Alstroemeriaceae","Alstroemeria","Alstroemeria isabelleana","Herb","Widespread","Xeric","LR","Autochory",NA,83.8,30.5,NA,"ND","Alstroemeria_isabellana"
"6","Asparagales","Amaryllidaceae","Hippeastrum","Hippeastrum morelianum","Herb","Restricted","Xeric",NA,"Autochory",NA,100,7.7,NA,"ND","Hippeastrum_morelianum"
"7","Apiales","Apiaceae","Eryngium","Eryngium glaziovianum","Herb","Restricted","Xeric",NA,"Autochory",NA,75,2.54,NA,"ND","Eryngium_glaziouvianum"
"8","Asterales","Asteraceae","Austrocritonia","Austrocritonia velutina","Shrub","Widespread","Xeric","ED","Anemochory",NA,60,0.27,NA,"D","Austrocritonia_velutina"
"9","Asterales","Asteraceae","Baccharis","Baccharis maxima","Shrub","Restricted","Xeric",NA,"Anemochory",NA,95,0.98,NA,"ND","Baccharis_maxima"
"10","Asterales","Asteraceae","Baccharis","Baccharis semiserrata","Shrub","Widespread","Xeric","LD","Anemochory",NA,87.5,0.06,NA,"D","Baccharis_semiserrata"
"11","Asterales","Asteraceae","Graphistylis","Graphistylis argyrotricha","Herb","Restricted","Xeric","ED","Anemochory",NA,97.5,0.99,NA,"ND","Graphistylis_argyrotricha"
"12","Asterales","Asteraceae","Graphistylis","Graphistylis dichroa","Herb","Restricted","Xeric","LD","Anemochory",NA,85,1.06,NA,"ND","Graphistylis_dichroa"
"13","Asterales","Asteraceae","Pentacalia","Pentacalia desiderabilis","Liana","Widespread","Xeric","ER","Anemochory",NA,95,0.17,NA,"ND","Pentacalia_desiderabilis"
"14","Asterales","Asteraceae","Senecio","Senecio adamantinus","Shrub","Widespread","Xeric","ED","Anemochory",NA,90,0.5,NA,"ND","Senecio_adamantinus"
"15","Asterales","Asteraceae","Senecio","Senecio brasiliensis","Shrub","Widespread","Xeric","ER","Anemochory",NA,90,0.37,NA,"ND","Senecio_brasiliensis"
"16","Asterales","Asteraceae","Senecio","Senecio oleosus","Herb","Restricted","Xeric",NA,"Anemochory",NA,75,0.88,NA,"D","Senecio_oleosus"
"17","Asterales","Asteraceae","Trixis","Trixis glaziovii","Herb","Widespread","Xeric",NA,"Anemochory",NA,70,1.12,NA,"ND","Trixis_glaziouvii"
"18","Asterales","Asteraceae","Verbesina","Verbesina glabrata","Shrub","Widespread","Xeric",NA,"Anemochory",NA,65,0.76,NA,"D","Verbesina_glabrata"
"19","Cucurbitales","Begoniaceae","Begonia","Begonia occhionii","Shrub","Widespread","Xeric",NA,"Autochory",NA,70,0.001,NA,"ND","Begonia_occhionii"
"20","Ranunculales","Berberidaceae","Berberis","Berberis campos-portoi","Shrub","Widespread","Xeric",NA,"Zoochory",NA,91.2,15.5,NA,"D","Berberis_camposportoi"
"21","Poales","Bromeliaceae","Vriesea","Vriesea bituminosa","Herb","Widespread","Xeric",NA,"Anemochory",NA,100,0.98,NA,"ND","Vriesea_bituminosa"
"22","Poales","Bromeliaceae","Vriesea","Vriesea itatiaiae","Herb","Widespread","Xeric",NA,"Anemochory",NA,93.8,0.99,NA,"ND","Vriesea_itatiaiae"
"23","Celastrales","Celastraceae","Maytenus","Maytenus boaria","Tree","Widespread","Xeric",NA,"Zoochory",NA,72.5,14.9,NA,"D","Maytenus_boaria"
"24","Ericales","Clethraceae","Clethra","Clethra scabra var. laevigata","Shrub","Widespread","Xeric",NA,"Autochory",NA,80,0.29,NA,"ND","Clethra_scabra"
"25","Poales","Cyperaceae","Carex","Carex brasiliensis","Herb","Widespread","Mesic/Xeric",NA,"Autochory",NA,95,0.48,NA,"D","Carex_brasiliensis"
"26","Ericales","Ericaceae","Agarista","Agarista hispidula","Shrub","Restricted","Xeric",NA,"Autochory",NA,75,0.1,NA,"ND","Agarista_hispidula"
"27","Ericales","Ericaceae","Gaultheria","Gaultheria serrata","Shrub","Restricted","Xeric",NA,"Zoochory",NA,75,0.04,NA,"ND","Gaultheria_serrata"
"28","Poales","Eriocaulaceae","Eriocaulon","Eriocaulon majusculum","Herb","Restricted","Mesic","ER","Autochory",NA,70,0.17,NA,"D","Eriocaulon_majusculum"
"29","Poales","Eriocaulaceae","Paepalanthus","Paepalanthus itatiaiensis","Herb","Restricted","Xeric","ER","Anemochory",NA,70,0.17,NA,"D","Paepalanthus_itatiaiensis"
"30","Escalloniales","Escalloniaceae","Escallonia","Escallonia bifida","Shrub","Widespread","Xeric","ER","Anemochory",NA,70,0.005,NA,"D","Escallonia_bifida"
"31","Fabales","Fabaceae","Lupinus","Lupinus gibertianus","Herb","Widespread","Xeric",NA,"Autochory",NA,80,15.9,NA,"D","Lupinus_gibertianus"
"32","Fabales","Fabaceae","Senna","Senna itatiaiae","Shrub","Widespread","Xeric","ED","Autochory",NA,76.2,34.2,NA,"D","Senna_itatiaiae"
"33","Asparagales","Iridaceae","Gelasine","Gelasine coerulea","Herb","Widespread","Xeric",NA,"Autochory",NA,81.3,2.55,NA,"ND","Gelasine_caerulea"
"34","Asparagales","Iridaceae","Sisyrinchium","Sisyrinchium marginatum","Herb","Widespread","Xeric",NA,"Autochory",NA,82.5,1.61,NA,"D","Sisyrinchium_palmifolium"
"35","Asparagales","Iridaceae","Sisyrinchium","Sisyrinchium wettsteinii","Herb","Widespread","Mesic/Xeric",NA,"Autochory",NA,86.3,3.65,NA,"D","Sisyrinchium_wettsteinii"
"36","Lamiales","Lamiaceae","Lepechinia","Lepechinia speciosa","Shrub","Restricted","Xeric","ED",NA,NA,90,3.98,NA,"D","Lepechinia_speciosa"
"37","Myrtales","Melastomataceae","Leandra","Leandra quinquedentata","Shrub","Widespread","Xeric",NA,"Zoochory",NA,86.2,0.25,NA,"D","Miconia_quinquedentata"
"38","Myrtales","Melastomataceae","Pleroma","Pleroma echinatum","Shrub","Widespread","Xeric","LD","Autochory",NA,86.3,0.02,NA,"ND","Pleroma_echinatum"
"39","Myrtales","Melastomataceae","Pleroma","Pleroma foveolatum","Shrub","Widespread","Xeric","LR","Autochory",NA,70,0.04,NA,"D","Pleroma_foveolatum"
"40","Myrtales","Melastomataceae","Pleroma","Pleroma hospitum","Shrub","Widespread","Xeric",NA,"Autochory",NA,65,0.04,NA,"ND","Pleroma_hospitum"
"41","Myrtales","Melastomataceae","Pleroma","Tibouchina itatiaiae","Shrub","Widespread","Xeric",NA,"Autochory",NA,80,0.04,NA,"D","Pleroma_itatiaiae"
"42","Lamiales","Orobanchaceae","Esterhazya","Esterhazya eitenorum","Shrub","Widespread","Xeric",NA,"Autochory",NA,76.3,0.11,NA,"ND","Esterhazya_eitenorum"
"43","Lamiales","Plantaginaceae","Plantago","Plantago australis","Herb","Widespread","Xeric","ED","Autochory",NA,86.3,1.07,NA,"ND","Plantago_australis"
"44","Ericales","Primulaceae","Myrsine","Myrsine gardneriana","Shrub","Widespread","Xeric","ER","Zoochory",NA,95,8.72,NA,"D","Myrsine_gardneriana"
"45","Proteales","Proteaceae","Roupala","Roupala montana","Shrub","Widespread","Xeric",NA,"Anemochory",NA,98.8,8.9,NA,"ND","Roupala_montana"
"46","Gentianales","Rubiaceae","Coccocypselum","Coccocypselum condalia","Herb","Widespread","Xeric",NA,"Zoochory",NA,70,0.5,NA,"D","Coccocypselum_condalia"
"47","Gentianales","Rubiaceae","Galium","Galium hypocarpium","Herb","Widespread","Xeric",NA,"Zoochory",NA,90,0.85,NA,"D","Galium_hypocarpium"
"48","Lamiales","Scrophulariaceae","Buddleja","Buddleja speciosissima","Shrub","Restricted","Xeric",NA,"Autochory",NA,85,0.3,NA,"ND","Buddleja_speciosissima"
"49","Pandanales","Velloziaceae","Barbacenia","Barbacenia gounelleana","Herb","Restricted","Xeric","LD","Autochory",NA,85,0.13,NA,"D","Barbacenia_gounelleana"
"50","Canellales","Winteraceae","Drimys","Drimys brasiliensis","Tree","Widespread","Xeric",NA,"Zoochory",NA,91.2,3.69,NA,"D","Drimys_brasiliensis"
"51","Poales","Xyridaceae","Xyris","Xyris stenophylla","Herb","Widespread","Mesic/Xeric",NA,"Autochory",NA,91.2,0.17,NA,"ND","Xyris_stenophylla"
"52","Caryophyllales","Cactaceae","Discocactus","Discocactus placentiformis","Succulent","Restricted","Xeric",NA,"Zoochory",NA,NA,NA,NA,"NC","Discocactus_placentiformis"
"53","Caryophyllales","Cactaceae","Discocactus","Discocactus pseudoinsignis","Succulent","Restricted","Xeric",NA,"Zoochory",NA,NA,NA,NA,"NC","Discocactus_pseudoinsignis"
"54","Lamiales","Verbenaceae","Stachytarpheta","Stachytarpheta ajugifolia","Shrub","Restricted","Xeric","LD","Autochory",NA,59.35,3.11,12.1,"D","Stachytarpheta_ajugifolia"
"55","Lamiales","Verbenaceae","Stachytarpheta","Stachytarpheta cayennensis",NA,"Widespread","Mesic/Xeric","LR","Autochory",NA,78.82,0.99,11.7,"ND","Stachytarpheta_cayennensis"
"56","Lamiales","Verbenaceae","Stachytarpheta","Stachytarpheta spathulata","Shrub","Restricted","Xeric","LD","Autochory",NA,27.53,1.35,12.3,"D","Stachytarpheta_chascanoides"
"57","Lamiales","Verbenaceae","Stachytarpheta","Stachytarpheta commutata","Shrub","Restricted","Xeric","LD","Autochory",NA,32.04,1.63,14.9,"D","Stachytarpheta_commutata"
"58","Lamiales","Verbenaceae","Stachytarpheta","Stachytarpheta confertifolia","Herb","Restricted","Xeric","LR","Autochory",NA,75.91,2.24,12.5,"D","Stachytarpheta_confertifolia"
"59","Lamiales","Verbenaceae","Stachytarpheta","Stachytarpheta discolor","Shrub","Restricted","Xeric","LD","Autochory",NA,27.96,2.09,11.7,"D","Stachytarpheta_discolor"
"60","Lamiales","Verbenaceae","Stachytarpheta","Stachytarpheta glabra","Shrub","Restricted","Xeric","LD","Autochory",NA,15.91,2.45,12.5,"D","Stachytarpheta_glabra"
