ID,First_Author,Year,Title,Order,Family,Genus,Species_reported,Species_accepted,Class,Major,Minor
1,"Abreu, M. E. P.",2005,"Efeito da luz e da temperatura na germinação de sementes de quatro espécies de Xyris L. (Xyridaceae) ocorrentes na Serra do Cipó, MG, Brasil.",Poales,Xyridaceae,Xyris,Xyris cipoensis,Xyris cipoensis,Abiotic,Temperature,Constant
1,"Abreu, M. E. P.",2005,"Efeito da luz e da temperatura na germinação de sementes de quatro espécies de Xyris L. (Xyridaceae) ocorrentes na Serra do Cipó, MG, Brasil.",Poales,Xyridaceae,Xyris,Xyris longiscapa,Xyris longiscapa,Abiotic,Temperature,Constant
1,"Abreu, M. E. P.",2005,"Efeito da luz e da temperatura na germinação de sementes de quatro espécies de Xyris L. (Xyridaceae) ocorrentes na Serra do Cipó, MG, Brasil.",Poales,Xyridaceae,Xyris,Xyris platystachia,Xyris platystachya,Abiotic,Temperature,Constant
1,"Abreu, M. E. P.",2005,"Efeito da luz e da temperatura na germinação de sementes de quatro espécies de Xyris L. (Xyridaceae) ocorrentes na Serra do Cipó, MG, Brasil.",Poales,Xyridaceae,Xyris,Xyris trachyphylla,Xyris trachyphylla,Abiotic,Temperature,Constant
1,"Abreu, M. E. P.",2005,"Efeito da luz e da temperatura na germinação de sementes de quatro espécies de Xyris L. (Xyridaceae) ocorrentes na Serra do Cipó, MG, Brasil.",Poales,Xyridaceae,Xyris,Xyris cipoensis,Xyris cipoensis,Abiotic,Temperature,Alternate
1,"Abreu, M. E. P.",2005,"Efeito da luz e da temperatura na germinação de sementes de quatro espécies de Xyris L. (Xyridaceae) ocorrentes na Serra do Cipó, MG, Brasil.",Poales,Xyridaceae,Xyris,Xyris longiscapa,Xyris longiscapa,Abiotic,Temperature,Alternate
1,"Abreu, M. E. P.",2005,"Efeito da luz e da temperatura na germinação de sementes de quatro espécies de Xyris L. (Xyridaceae) ocorrentes na Serra do Cipó, MG, Brasil.",Poales,Xyridaceae,Xyris,Xyris platystachia,Xyris platystachya,Abiotic,Temperature,Alternate
1,"Abreu, M. E. P.",2005,"Efeito da luz e da temperatura na germinação de sementes de quatro espécies de Xyris L. (Xyridaceae) ocorrentes na Serra do Cipó, MG, Brasil.",Poales,Xyridaceae,Xyris,Xyris trachyphylla,Xyris trachyphylla,Abiotic,Temperature,Alternate
1,"Abreu, M. E. P.",2005,"Efeito da luz e da temperatura na germinação de sementes de quatro espécies de Xyris L. (Xyridaceae) ocorrentes na Serra do Cipó, MG, Brasil.",Poales,Xyridaceae,Xyris,Xyris cipoensis,Xyris cipoensis,Abiotic,Light,Availability
1,"Abreu, M. E. P.",2005,"Efeito da luz e da temperatura na germinação de sementes de quatro espécies de Xyris L. (Xyridaceae) ocorrentes na Serra do Cipó, MG, Brasil.",Poales,Xyridaceae,Xyris,Xyris longiscapa,Xyris longiscapa,Abiotic,Light,Availability
1,"Abreu, M. E. P.",2005,"Efeito da luz e da temperatura na germinação de sementes de quatro espécies de Xyris L. (Xyridaceae) ocorrentes na Serra do Cipó, MG, Brasil.",Poales,Xyridaceae,Xyris,Xyris platystachia,Xyris platystachya,Abiotic,Light,Availability
1,"Abreu, M. E. P.",2005,"Efeito da luz e da temperatura na germinação de sementes de quatro espécies de Xyris L. (Xyridaceae) ocorrentes na Serra do Cipó, MG, Brasil.",Poales,Xyridaceae,Xyris,Xyris trachyphylla,Xyris trachyphylla,Abiotic,Light,Availability
