ID,Order,Family,Genus,Species_reported,Authority_reported,Species_accepted,Authority_accepted,Latitude,Longitude,Location,Outcrop,Growth_form,Distribution,Microhabitat,Dispersal_period,Dispersal_syndrome,Seed_number,Embryoless,Nonviable,Nondormant,Dormant,Viable,Length,Width,Thickness,Dry_mass,Water_content,Dormancy,Dormancy_class,Dessication_tolerance,Notes
1,Poales,Xyridaceae,Xyris,Xyris cipoensis,L.B.Sm. & Downs,Xyris cipoensis,L.B.Sm. & Downs,-19.25,-43.55,Serra do Cipó,Quartzite,Herb,Restricted,Mesic,ED,Autochory,NA,NA,NA,NA,NA,NA,1.06,0.37,NA,0.01,14.3,ND,ND,Orthodox,NA
1,Poales,Xyridaceae,Xyris,Xyris longiscapa,L.A.Nilsson,Xyris longiscapa,L.A.Nilsson,-19.25,-43.55,Serra do Cipó,Quartzite,Herb,Restricted,Mesic,ED,Autochory,NA,NA,NA,NA,NA,NA,0.56,0.19,NA,0.0019,12.7,ND,ND,Orthodox,NA
1,Poales,Xyridaceae,Xyris,Xyris platystachya,L.A.Nilsson ex Malme,Xyris platystachya,L.A.Nilsson ex Malme,-19.23,-43.33,Serra do Cipó,Quartzite,Herb,Widespread,Mesic,LD,Autochory,NA,NA,NA,NA,NA,NA,0.92,0.33,NA,0.0075,14.2,ND,ND,Orthodox,NA
1,Poales,Xyridaceae,Xyris,Xyris trachyphylla,Mart.,Xyris trachyphylla,Mart.,-19.23,-43.33,Serra do Cipó,Quartzite,Herb,Widespread,Mesic,LD,Autochory,NA,NA,NA,NA,NA,NA,0.66,0.22,NA,0.0031,11.5,ND,ND,Orthodox,NA
2,Liliales,Alstroemeriaceae,Alstroemeria,Alstroemeria isabelleana,Herb.,Alstroemeria isabelleana,Herb.,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Herb,Widespread,Xeric,LR,Autochory,NA,NA,NA,83.8,0,83.8,NA,NA,NA,30.5,NA,ND,ND,NA,NA
2,Asparagales,Amaryllidaceae,Hippeastrum,Hippeastrum morelianum,Lem.,Hippeastrum morelianum,Lem.,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Herb,Restricted,Xeric,NA,Autochory,NA,NA,NA,100,0,100,NA,NA,NA,7.7,NA,ND,ND,NA,NA
2,Apiales,Apiaceae,Eryngium,Eryngium glaziovianum,Urb.,Eryngium glaziovianum,Urb.,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Herb,Restricted,Xeric,NA,Autochory,NA,NA,NA,61.2,13.7,75,NA,NA,NA,2.54,NA,ND,ND,NA,NA
2,Asterales,Asteraceae,Austrocritonia,Austrocritonia velutina,(Gardner) R.M.King & H.Rob.,Austrocritonia velutina,(Gardner) R.M.King & H.Rob.,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Shrub,Widespread,Xeric,ED,Anemochory,NA,NA,NA,35,25,60,NA,NA,NA,0.27,NA,D,NA,NA,NA
2,Asterales,Asteraceae,Baccharis,Baccharis maxima,Baker,Baccharis maxima,Baker,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Shrub,Restricted,Xeric,NA,Anemochory,NA,NA,NA,95,0,95,NA,NA,NA,0.98,NA,ND,ND,NA,NA
2,Asterales,Asteraceae,Baccharis,Baccharis semiserrata,DC.,Baccharis semiserrata,DC.,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Shrub,Widespread,Xeric,LD,Anemochory,NA,NA,NA,55,32.5,87.5,NA,NA,NA,0.06,NA,D,NA,NA,NA
